id,text,timestamp
1,"The customer service was exceptional and exceeded my expectations!",2024-12-23 09:00:00
2,"Product arrived damaged and support was unresponsive.",2024-12-23 09:15:00
3,"This is the best purchase I've made all year, absolutely love it!",2024-12-23 09:30:00
4,"Not sure how I feel about the new interface changes.",2024-12-23 09:45:00
5,"Shipping took forever and the item wasn't worth the wait.",2024-12-23 10:00:00
6,"Great value for money, would recommend to others.",2024-12-23 10:15:00
7,"The product quality is okay but could be better.",2024-12-23 10:30:00
8,"Fantastic features and intuitive design!",2024-12-23 10:45:00
9,"Disappointed with the overall experience.",2024-12-23 11:00:00
10,"Meets basic requirements but nothing special.",2024-12-23 11:15:00
